t	1m	2m	3m	4m	5m	6m	7m	8m
0cm	1020	533	234	131	92	70	60	51
5cm	1007	522	218	121	78	67	57	49
10cm	407	335	174	107	69	60	51	44
15cm	195	170	122	81	63	54	47	40
20cm	149	110	79	57	51	48	42	39
25cm	110	82	64	47	43	41	38	38
30cm	88	63	52	43	40	36	36	36
35cm	61	60	49	40	38	33	33	34
40cm	38	51	42	37	35	31	31	32
45cm	NA	44	38	35	33	30	30	31
50cm	NA	40	35	32	32	30	30	30
55cm	NA	NA	34	31	31	30	30	30
60cm	NA	NA	32	30	30	30	30	30
